query,rnk,exempt_flag,row_ingested
asian shoes,45674,1,1759250535309
avant,45676,1,1759250535309
bersache,45678,1,1759250535309
birde,45680,1,1759250535309
campus,45682,1,1759250535309
clymb,45684,1,1759250535309
cozy wear slippers,45686,1,1759250535309
creattoes,45688,1,1759250535309
denill,45690,1,1759250535309
density,45692,1,1759250535309
doctor extra soft shoes,45694,1,1759250535309
el paso,45696,1,1759250535309
fabbmate sandals,45698,1,1759250535309
footox,45700,1,1759250535309
glamzkart,45702,1,1759250535309
hasten heels,45704,1,1759250535309
impakto,45706,1,1759250535309
inklenzo,45708,1,1759250535309
jm looks heels,45710,1,1759250535309
jootiyapa,45712,1,1759250535309
adda sandals,45714,1,1759250535309
adda shoes,45716,1,1759250535309
ajanta sandals,45718,1,1759250535309
ajanta shoes,45720,1,1759250535309
ajanta slippers,45722,1,1759250535309
akiko loafers,45724,1,1759250535309
akiko shoes,45726,1,1759250535309
avant shoes,45728,1,1759250535309
avant shoes,45730,1,1759250535309
avant slippers,45732,1,1759250535309
avant sport shoes,45734,1,1759250535309
bersache flipflop,45736,1,1759250535309
bersache shoes,45738,1,1759250535309
bersache flipflop for men,45740,1,1759250535309
bersache shoes for men,45742,1,1759250535309
bersache flipflop for women,45744,1,1759250535309
bersache shoes for women,45746,1,1759250535309
bersache clogs,45748,1,1759250535309
bersache sports shoes for men,45750,1,1759250535309
bersache sports shoes for women,45752,1,1759250535309
bersache boots,45754,1,1759250535309
kids toothless,45756,1,1759250535309
knoos,45758,1,1759250535309
knoos sports shoes,45760,1,1759250535309
kraasa,45762,1,1759250535309
kraasa shoes,45764,1,1759250535309
layasa,45766,1,1759250535309
liviva,45768,1,1759250535309
longwalk,45770,1,1759250535309
nobelite,45772,1,1759250535309
paragon,45774,1,1759250535309
rapidbox,45776,1,1759250535309
shoetopia heels,45778,1,1759250535309
sosu,45780,1,1759250535309
urba,45782,1,1759250535309
gujrat titans bracelet,347800,1,1759250535309
fastrack men watch,347806,1,1759250535309
watch fastrack women,347812,1,1759250535309
fastrack watch men,347818,1,1759250535309
watch for women fastrack,347824,1,1759250535309
fastrack watch strap,347830,1,1759250535309
women fastrack watch,347836,1,1759250535309
men fastrack watch,347842,1,1759250535309
sonata women watch,347848,1,1759250535309
sonata of watch,347854,1,1759250535309
watch sonata company,347860,1,1759250535309
men watch sonata,347866,1,1759250535309
sonata ka watch,347872,1,1759250535309
watch sonata watch,347878,1,1759250535309
sonata watch girl,347884,1,1759250535309
sonata company ka watch,347890,1,1759250535309
sonata watch for boys,347896,1,1759250535309
sonata company watch,347902,1,1759250535309
sonata men watch,347908,1,1759250535309
watch sonata women,347914,1,1759250535309
watch for men sonata,347920,1,1759250535309
women sonata watch,347926,1,1759250535309
watch for women sonata,347932,1,1759250535309
sonata watch for girl,347938,1,1759250535309
wrist watch for women sonata,347944,1,1759250535309
sonata company of watch,347950,1,1759250535309
zoop watch,347956,1,1759250535309
zoop kids watch,347962,1,1759250535309
titan zoop watch,347968,1,1759250535309
zoop watches,347974,1,1759250535309
zoop company watch,347980,1,1759250535309
zoop model watch for kids,347986,1,1759250535309
zoop watch strap,347992,1,1759250535309
titan zoop watch for girl,347998,1,1759250535309
zoop watch girls,348004,1,1759250535309
zoop titan watch,348010,1,1759250535309
titan zoop watches for girls,348016,1,1759250535309
zoop men watch,348022,1,1759250535309
zoop wr50m watch,348028,1,1759250535309
zoop watch 1 to 12.,348034,1,1759250535309
zoop watch girl,348040,1,1759250535309
bold care,499283,1,1759250535309
bold care extend delay spray,499289,1,1759250535309
bold care delay spray,499295,1,1759250535309
bold care spray,499301,1,1759250535309
bold care condom,499307,1,1759250535309
bold care extend spray,499313,1,1759250535309
cetaphil face wash and moisturizer,8912,1,1759250535309
cetaphil face wash,14519,1,1759250535309
cetaphil,16409,1,1759250535309
cetaphil sunscreen,22652,1,1759250535309
cetaphil cleanser,43780,1,1759250535309
cetaphil moisturizer,61191,1,1759250535309
